numParticles,maxIterations,numRuns,c1,c2,w
150,800,40,2.5,2.5,0.2
20,800,40,0.5,2.5,0.2
60,800,5,1.5,2.5,0.8
60,200,40,1.5,0.5,0.5
150,1600,5,1.5,2.5,0.8
20,800,40,2.5,0.5,0.5
150,1600,20,0.5,1.5,0.2
150,200,5,0.5,1.5,0.8
60,1600,5,1.5,1.5,0.5
150,200,5,2.5,0.5,0.2
150,1600,20,1.5,2.5,0.5
20,1600,20,0.5,1.5,0.5
150,800,40,2.5,1.5,0.8
150,800,5,2.5,1.5,0.2
60,1600,5,0.5,1.5,0.8
60,200,5,0.5,0.5,0.2
60,1600,5,2.5,2.5,0.2
60,1600,5,1.5,0.5,0.5
60,800,5,2.5,0.5,0.8
60,800,20,0.5,2.5,0.2
60,200,20,0.5,2.5,0.5
60,1600,20,2.5,1.5,0.8
60,200,40,2.5,2.5,0.5
150,1600,40,0.5,2.5,0.8
150,800,40,1.5,2.5,0.5
150,200,40,1.5,2.5,0.2
20,800,40,0.5,1.5,0.8
20,1600,20,2.5,0.5,0.2
150,1600,5,1.5,1.5,0.2
60,1600,20,2.5,2.5,0.5
60,800,5,0.5,1.5,0.5
20,800,40,2.5,0.5,0.8
20,1600,5,2.5,1.5,0.8
20,1600,20,2.5,0.5,0.5
20,800,40,1.5,1.5,0.5
60,1600,5,0.5,0.5,0.8
20,1600,20,2.5,1.5,0.2
150,200,40,2.5,0.5,0.5
60,1600,20,2.5,0.5,0.2
150,800,40,0.5,2.5,0.2
60,1600,40,1.5,0.5,0.8
60,800,40,2.5,1.5,0.5
60,200,5,2.5,2.5,0.5
150,200,5,0.5,2.5,0.2
150,1600,20,1.5,0.5,0.8
60,1600,40,0.5,0.5,0.5
150,800,40,1.5,0.5,0.8
20,800,40,1.5,1.5,0.2
150,1600,40,0.5,0.5,0.2
150,800,5,1.5,2.5,0.5
20,1600,40,1.5,0.5,0.5
60,1600,20,1.5,1.5,0.2
150,1600,40,0.5,1.5,0.5
150,1600,5,0.5,0.5,0.2
20,1600,20,1.5,1.5,0.5
150,1600,20,0.5,0.5,0.8
150,1600,40,2.5,2.5,0.2
150,1600,20,2.5,1.5,0.2
60,200,5,1.5,2.5,0.2
60,200,40,2.5,1.5,0.8
150,800,20,0.5,2.5,0.5
60,800,40,0.5,1.5,0.8
60,800,20,2.5,0.5,0.2
20,1600,40,2.5,2.5,0.2
20,1600,40,1.5,1.5,0.8
60,1600,40,2.5,1.5,0.2
60,800,40,2.5,0.5,0.2
20,1600,20,1.5,2.5,0.2
150,200,40,0.5,1.5,0.8
60,200,20,2.5,1.5,0.5
150,1600,5,2.5,0.5,0.2
150,200,5,0.5,1.5,0.2
20,1600,5,1.5,2.5,0.2
150,200,20,1.5,2.5,0.8
60,800,20,0.5,2.5,0.5
150,200,20,0.5,2.5,0.5
20,1600,40,2.5,0.5,0.2
60,800,20,2.5,1.5,0.5
150,200,40,0.5,0.5,0.5
20,1600,5,2.5,2.5,0.8
20,1600,40,1.5,2.5,0.2
60,800,5,0.5,1.5,0.2
60,1600,5,1.5,2.5,0.5
150,800,40,0.5,0.5,0.5
150,1600,20,2.5,2.5,0.8
20,1600,40,0.5,2.5,0.2
20,1600,40,1.5,1.5,0.5
150,200,5,1.5,2.5,0.5
60,1600,40,0.5,1.5,0.8
20,1600,20,1.5,1.5,0.2
150,1600,20,0.5,2.5,0.5
150,1600,5,2.5,1.5,0.2
150,200,5,1.5,0.5,0.2
150,200,40,0.5,2.5,0.5
60,800,5,0.5,2.5,0.8
60,200,20,1.5,1.5,0.2
60,200,20,1.5,2.5,0.2
150,200,40,2.5,1.5,0.8
60,1600,40,0.5,0.5,0.2
150,1600,20,1.5,1.5,0.2
